name,latitude,longitude
100 AM,1.2745882179999999,103.84347070000001
313,1.3357889920000001,103.84932459999999
Aperia,1.30974242,103.8641016
Balestier Hill Shopping Centre,1.326124169,103.8437095
Bugis Cube,1.298195005,103.85565550000001
Bugis Junction,1.300117893,103.8561916
Bugis+,1.301204089,103.8559241
Capitol Piazza,1.293063359,103.85129350000001
Cathay Cineleisure Orchard,1.301497434,103.8364448
The Centrepoint,1.301978369,103.839759
City Square Mall,1.31147745,103.8567808
CityLink Mall,1.292378607,103.854663
Duo,1.299216621,103.8579968
Far East Plaza,1.3073111259999999,103.83394
Funan,1.2912440059999999,103.8499848
Great World City,1.293154929,103.831928
HDB Hub,1.33218812,103.8470778
ION Orchard,1.3040425340000001,103.83188829999999
Junction 8,1.350686263,103.84894969999999
Knightsbridge,1.302983123,103.8362839
Liang Court,1.290658604,103.84454720000001
Liat Towers,1.30510759,103.83072790000001
Lucky Plaza,1.30446379,103.83400520000001
Marina Bay Sands,1.283994101,103.85945059999999
The Shoppes at Marina Bay Sands,1.284234913,103.8589822
Marina Bay Financial Centre Tower 3,1.279124938,103.85445759999999
Marina Bay Link Mall,1.2804679429999999,103.85347009999998
Marina One,1.27704169,103.85340190000001
Marina Square,1.2910398029999999,103.8576235
Millenia Walk,1.292046053,103.8599002
Ngee Ann City,1.302424172,103.8346761
Orchard Central,1.300723504,103.83969240000002
Orchard Gateway,1.300443253,103.8394428
Orchard Plaza,1.30126533,103.84115179999999
Midpoint Orchard,1.301783782,103.8386606
Orchard Shopping Centre,1.301484998,103.83788829999999
Palais Renaissance,1.306654845,103.829588
People's Park Centre,1.285757742,103.8439298
People's Park Complex,1.284128626,103.8425848
Plaza Singapura,1.300820718,103.8450673
Raffles City,1.294076445,103.85333179999999
Scotts Square,1.3057629240000002,103.8330834
Serangoon Plaza,1.310780752,103.8551468
Sim Lim Square,1.303022985,103.85287559999999
Singapore Shopping Centre,1.2981321479999999,103.8441384
The South Beach,1.2949880440000001,103.8562762
Square 2,1.320612586,103.8443315
Suntec City,1.295466756,103.85858499999999
Tanglin Mall,1.304853421,103.8238835
Tangs,1.304950056,103.8329711
Tanjong Pagar Centre,1.276609528,103.8461808
Tekka Centre,1.30617773,103.85061
The Paragon,1.3039493640000002,103.8358442
The Poiz,1.331450866,103.86837170000001
Thomson Plaza,1.3543252419999998,103.8303281
United Square,1.3175117140000001,103.84362879999999
Velocity,1.319789492,103.84403359999999
Wheelock Place,1.30453636,103.8307142
Wisma Atria,1.303698907,103.8331896
Zhongshan Mall,1.326945045,103.84655440000002
White Sands,1.372398981,103.94974920000001
Downtown East,1.377775842,103.9547736
Century Square,1.3523611309999999,103.9437848
Tampines 1,1.354323212,103.9451412
Tampines Mall,1.3525802519999999,103.94469620000001
Our Tampines Hub,1.353101202,103.9408486
Changi Airport,1.357220256,103.9873046
Changi City Point,1.334036379,103.9629176
Djitsun Mall Bedok,1.326053199,103.92960459999999
Eastpoint Mall,1.342586441,103.9530723
Bedok Mall,1.3246689740000002,103.9294055
Bedok Point,1.324801026,103.932384
Paya Lebar Square,1.318675756,103.89255059999999
Singapore Post Centre,1.318871844,103.8947671
PLQ Mall,1.317482311,103.8928322
KINEX,1.314692135,103.8944805
112 Katong,1.305086818,103.90509890000001
Parkway Parade,1.301080033,103.9052818
City Plaza,1.314805223,103.8934183
Katong Square,1.3048533709999999,103.90457420000001
Katong V,1.303850304,103.9028504
Kallang Wave Mall,1.303843272,103.8727507
Leisure Park Kallang,1.302337453,103.87644920000001
East Village,1.331778949,103.94623670000001
Elias Mall,1.378570261,103.9419891
Loyang Point,1.36645364,103.9645985
The Flow,1.30455858,103.9042117
Jewel Changi Airport,1.360331745,103.9896703
888 Plaza,1.437130524,103.79528990000001
Admiralty Place,1.439880955,103.80179100000001
AMK Hub,1.369223214,103.8484679
Causeway Point,1.4360886769999999,103.78601
Broadway Plaza,1.371936464,103.8459738
Djitsun Mall,1.326053199,103.92960459999999
Junction 9,1.433031982,103.8416008
Bishan Junction 8,1.3502394309999999,103.8484776
Marsiling Mall,1.433512535,103.7797469
Northpoint City,1.4280358519999998,103.8360921
Sembawang Shopping Centre,1.4418532530000001,103.8248324
Sun Plaza,1.4482265380000001,103.8194621
Wisteria Mall,1.417999263,103.8412365
Woodlands Mart,1.44564787,103.7981623
Waterway Point,1.4064261630000001,103.90223809999999
Compass One,1.392094156,103.89498
Hougang Mall,1.3724367830000002,103.89372390000001
Heartland Mall,1.359544509,103.8851691
NEX,1.3506755209999999,103.87186159999999
Greenwich V,1.3876033019999998,103.86942359999999
Hougang 1,1.375667283,103.8794503
Hougang Green Shopping Mall,1.379317835,103.88784709999999
myVillage,1.365160713,103.86504190000001
Oasis Terraces,1.402634601,103.91327059999999
Punggol Plaza,1.394184094,103.9129764
Rivervale Mall,1.3922173269999998,103.90447309999999
Rivervale Plaza,1.385371516,103.90184959999999
The Seletar Mall,1.391393061,103.87606770000001
Buangkok Square,1.384334266,103.88162309999998
The Midtown,1.37047941,103.8951285
Upper Serangoon Shopping Centre,1.353480883,103.8788284
Beauty World Centre,1.342412642,103.7765394
Beauty World Plaza,1.341787998,103.77630409999999
Bukit Panjang Plaza,1.379916507,103.7643171
Bukit Timah Plaza,1.338631653,103.77858540000001
Fajar Shopping Centre,1.384005825,103.77102959999999
Greenridge Shopping Centre,1.385417687,103.7662355
Hillion Mall,1.378498681,103.76302290000001
HillV2,1.363550958,103.76423609999999
Junction 10,1.380605125,103.7600416
Limbang Shopping Centre,1.392242406,103.74319100000001
Lot One,1.385069923,103.7452389
Rail Mall,1.35773806,103.76814209999999
Sunshine Place,1.377897277,103.73901550000001
Teck Whye Shopping Centre,1.380047726,103.7524646
West Mall,1.3501891659999998,103.749022
Yew Tee Point,1.3970843240000002,103.74659799999999
Yew Tee Square,1.3980473619999998,103.7470848
Keat Hong Shopping Centre,1.377439635,103.7443832
VivoCity,1.264394681,103.82180859999998
HarbourFront Centre,1.2637968290000001,103.820219
Alexandra Retail Centre,1.273621827,103.80127890000001
321 Clementi,1.3120249179999999,103.7649605
The Clementi Mall,1.315496754,103.76457020000001
IMM,1.306638974,103.78241290000001
JCube,1.333237851,103.74019129999999
Jem,1.333054519,103.74343370000001
Jurong Point,1.339452004,103.706685
Pioneer Mall,1.341591087,103.69702009999999
The Star Vista,1.30697044,103.7884203
Tiong Bahru Plaza,1.2864712,103.8271583
Alexandra Central,1.287456124,103.8054147
Anchorpoint,1.28893478,103.8056078
Big Box,1.331832698,103.7448792
Boon Lay Shopping Centre,1.346373764,103.7124728
Grantral Mall,1.314231317,103.76509759999999
Fairprice Hub,1.325617678,103.6784097
Gek Poh Shopping Centre,1.3487440030000002,103.6982988
Rochester Mall,1.305317927,103.7885239
Taman Jurong Shopping Centre,1.334844875,103.720462
West Coast Plaza,1.303742583,103.7660929
Queensway Shopping Centre,1.287617926,103.8033911
